sarga,shloka#,Shloka
1,1,कान्ताय कल्याणगुणैकधाम्ने नवद्युनाथप्रतिमप्रभाय ।<BR> नारायणायाखिलकारणाय श्रीप्राणनाथाय नमस्करोमि ॥ १ ॥
1,2,अनाकुलं गोकुलमुल्ललास यत्पालितं नित्यमनाविलात्म ।<BR> तस्मै नमो नीरदनीलभासे कृष्णाय कृष्णारमणप्रियाय ॥ २ ॥
1,3,अपि त्रिलोक्या बहिरुल्लसन्ती तमो हरन्ती मुहुरान्तरं च ।<BR> दिश्याद्दृशं नो विशदां जयन्ती मध्वस्य कीर्तिर्दिननाथदीप्तिम्॥३॥
1,4,तमोनुदाऽऽनन्दमवाप लोकस्तत्त्वप्रदीपाकृतिगोगणेन ।<BR> यदास्यशीतांशुभुवा गुरूंस्तांस्त्रिविक्रमार्यान् प्रणमामि वर्यान्॥ ४ ॥
1,5,मुकुन्दभक्त्यै गुरुभक्तिजायै सतां प्रसत्त्यै च निरन्तरायै ।<BR> गरीयसीं विश्वगुरोर्विशुद्धां वक्ष्यामि वायोरवतारलीलाम् ॥ ५ ॥
1,6,तां मन्त्रवर्णैरनुवर्णनीयां शर्वेन्द्रपूवैरपि वक्तुकामे ।<BR> संक्षिप्नुवाक्ये मयि मन्दबुद्धौ सन्तो गुणाढ्याः करुणां क्रियासुः ॥ ६ ॥
1,7,उच्चावचा येन समस्तचेष्टाः किं तत्र चित्रं चरितं निवेद्यम् ।<BR> किन्तूत्तमश्लोकशिखामणीनां मनोविशुद्ध्यै चरितानुवादः ॥ ७ ॥
1,8,मालाकृतस्तच्चरिताख्यरत्नैरसूक्ष्मदृष्टेः सकुतूहलस्य ।<BR> पूर्वापरीकारमथापरं वा क्षाम्यन्तु मे हन्त मुहुर्महान्तः ॥ ८ ॥
1,9,श्रीवल्लभाज्ञां ससुरेन्द्रयाञ्चां सम्भाव्य सम्भाव्यतमां त्रिलोक्याम् ।<BR> प्राणेश्वरः प्राणिगणप्रणेता गुरुः सतां केसरिणो गृहेऽभूत् ॥ ९ ॥
1,10,ये ये गुणा नाम जगत्प्रसिद्धा यं तेषु तेषु स्म निदर्शयन्ति ।<BR> साक्षान्महाभागवतप्रबर्हं श्रीमन्तमेनं हनुमन्तमाहुः ॥ १० ॥
1,11,कर्माणि कुर्वन् परमाद्भुतानि सभासु दैवीषु सभाजितानि ।<BR> सुग्रीवमित्रं स जगत्पवित्रं रमापतिं रामतनुं ददर्श॥ ११ ॥
1,12,पादारविन्दप्रणतो हरीन्द्रस्तदा महाभक्तिभराभिनुन्नः ।<BR> अग्राहि पद्मोदरसुन्दराभ्यां दोर्भ्या• पुराणेन स पूरुषेण ॥ १२ ॥
1,13,अदार्यसालावलिदारणेन व्यापादितेन्द्रप्रभवेन तेन ।<BR> प्राद्योतनिप्रीतिकृता निकामं मधुद्विषा संदिदिशे स वीरः॥ १३ ॥
1,14,कर्णान्तमानीय गुणग्रहीत्रा रामेण मुक्तो रणकोविदेन ।<BR> स्फुरन्नसौ वैरिभयङ्करोऽभूत् सत्पक्षपाती प्रदरो यथाऽग्रयः॥ १४ ॥
1,15,गोभिः समानन्दितरूपसीतः स्ववह्निनिर्दग्धपलाशिराशिः ।<BR> अहो हनूमन्नववारिदोऽसौ तीर्णाम्बुधिर्विष्णुपदे ननाम॥ १५ ॥
1,16,अपक्षपाती पुरुषस्त्रिलोक्यामभोगभोक्ता पतगाधिराजम् ।<BR> विश्वम्भरं बिभ्रदसौ जिगाय त्वरापराक्रान्तिषु चित्रमेतत्॥ १६ ॥
1,17,निबध्य सेतुं रघुंवशकेतुभ्रूभङ्गसम्भ्रान्तपयोधिमध्ये ।<BR> मुष्टिप्रहारं दशकाय सीतासन्तर्जनाग्रयोत्तरमेषकोऽदात् ॥ १७ ॥
1,18,जाज्वल्यमानोज्ज्वलराघवाग्नौ चक्रे स सुग्रीवसुयायजूके ।<BR> आध्वर्यवं युद्धमखे प्रतिप्रस्थात्रा सुमित्रातनयेन साकम्॥ १८ ॥
1,19,रामार्चने यो नयतः प्रसूनं द्वाभ्यां कराभ्यामभवत्प्रयत्नः ।<BR> एकेन दोष्णा नयतो गिरीन्द्रं सञ्जीवनाद्याश्रयमस्य नाभूत्॥ १९ ॥
1,20,स दारितारिं परमं पुमांसं समन्वयासीन्नरदेवपुत्र्या ।<BR> वह्निप्रवेशाधिगतात्मशुद्ध्या विराजितं काञ्चनमालयेव ॥ २० ॥
1,21,श्यामं स्मितास्यं पृथुदीर्घहस्तं सरोजनेत्रं गजराजयात्रम् ।<BR> वपुर्जगन्मङ्गलमेष दृग्भ्यां चिरादयोध्याधिपतेः सिषेवे॥ २१ ॥
